time,north_bering_sst,south_bering_sst,west_aleutians_sst,central_aleutians_sst,east_aleutians_sst,west_gulf_sst,central_gulf_sst,east_gulf_sst,north_bering_sst_stdev,south_bering_sst_stdev,west_aleutian_sst_stdev,central_aleutian_sst_stdev,east_aleutians_sst_stdev,west_gulf_sst_stdev,central_gulf_sst_stdev,east_gulf_sst_stdev,north_bering_sst_n,south_bering_sst_n,west_aleutian_sst_n,central_aleutian_sst_n,east_aleutian_sst_n,west_gulf_sst_n,central_gulf_sst_n,east_gulf_sst_n
UTC,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,,,,,,,,
1986-02-15T00:00:00Z,0.45775273,1.7654332,2.4542239,2.401071,2.907758,3.3070803,4.4318337,5.396079,1.5389351,1.2271183,0.46563137,0.48503885,0.4578527,0.51749593,0.5704121,0.6393295,24701,26215,8123,6489,11516,13350,31037,31808
1986-03-17T00:00:00Z,0.55840695,1.3283526,2.3137043,2.1803913,2.3688684,2.939477,3.607938,4.833648,1.5800813,1.3172213,0.46780005,0.4952542,0.61731017,0.57645667,0.5838977,0.7174899,14011,23770,6004,7310,5408,11799,28406,15980
1986-04-16T00:00:00Z,-0.25925326,1.1937402,2.6798434,2.8186402,2.9617138,3.0974371,3.7069473,4.9272556,1.5372566,1.3126606,0.38886827,0.4928438,0.5120961,0.4905411,0.56417036,0.77048904,11048,18475,21070,15834,13532,12743,29800,22074
1986-05-17T00:00:00Z,-0.06846819,2.042974,3.1722407,3.038409,3.5959334,4.347067,4.821452,6.1487536,1.2417816,1.3428468,0.7908596,0.96232855,0.85519946,0.7464732,0.83479625,1.0211363,36310,25744,14772,8919,18709,22360,35250,22527
1986-06-16T00:00:00Z,2.9436488,4.4593983,4.850659,5.6692786,5.6257954,5.607708,6.554506,8.793798,1.1668888,1.2880106,0.9744109,0.919505,1.0924976,1.0512656,1.1136293,0.9642071,39954,20337,8137,9244,4885,12413,12120,17664
1986-07-17T00:00:00Z,5.2457314,5.771698,8.1452265,7.396981,7.425987,8.688185,9.488711,11.345224,1.9940226,1.0725732,1.0820888,2.078718,2.554589,1.4694198,1.210328,0.9405704,43251,26139,15776,9645,5417,13545,30623,25352
1986-08-17T00:00:00Z,6.545033,7.730345,10.013564,9.153252,9.503523,10.086789,10.843251,12.255844,1.8389919,0.9592872,0.86353797,1.2117268,1.2645789,0.60650253,0.66349477,0.6365405,22057,12506,22307,18085,14603,17097,27135,21674
1986-09-16T00:00:00Z,6.140873,7.7312107,9.765902,8.955589,9.404734,10.175138,10.376225,12.518189,1.4841856,0.9793015,1.1490589,1.4991174,0.9337459,0.7090539,0.73116547,1.0745361,25623,11297,13670,11836,12699,13540,29703,31190
1986-10-17T00:00:00Z,3.6560981,6.432288,7.6295924,7.1095834,7.3610897,8.760715,9.101081,10.028149,1.8825781,0.9612811,0.95024526,0.9949962,1.313262,1.0501945,0.8588091,0.9138747,26428,15638,18012,11092,10609,11098,27776,30134
1986-11-16T00:00:00Z,2.9837542,5.856845,5.6470428,5.539871,6.1460953,7.509231,7.687716,8.772762,2.0223415,0.9411872,0.6569767,0.8420249,1.0407369,0.91107297,1.071408,1.1731715,24890,16931,14303,12963,13994,11299,23082,22701
